"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","gene"
"HN1","1.14065597721143e-60","-0.369074757846826","0.128","0.273","1.69125061741138e-56","HN1"
"RHOF","1.57336526310147e-60","-0.346584143947072","0.028","0.103","2.33282867560055e-56","RHOF"
"PSMB9","1.84180013107907e-60","-0.36655782180807","0.338","0.538","2.73083705435094e-56","PSMB9"
"NPC2","3.117603488748e-60","-0.28436849708477","0.646","0.818","4.62247069276666e-56","NPC2"
"HSBP1","1.17147219838321e-59","-0.365430159471479","0.28","0.47","1.73694182854278e-55","HSBP1"
"PSME2","1.31228762868441e-59","-0.338506533245604","0.453","0.651","1.94572886705037e-55","PSME2"
"DSTN","2.17504923907013e-59","-0.381615804206068","0.082","0.2","3.22494550676928e-55","DSTN"
"RPL32","2.92582691748576e-59","0.171597770442599","0.979","0.99","4.33812357055613e-55","RPL32"
"LYST","1.45305469768206e-58","-0.363902753964879","0.271","0.46","2.15444420025319e-54","LYST"
"LILRA3","3.02834403010908e-58","-0.349538906561063","0.05","0.145","4.49012569344273e-54","LILRA3"
"C20orf201","9.30321570908701e-58","-0.168285808678094","0.003","0.033","1.37938779318633e-53","C20orf201"
"SH2D3C","2.56153180868183e-57","-0.361208063993082","0.039","0.124","3.79798321273255e-53","SH2D3C"
"SYTL1","3.76912272528916e-57","-0.303637014635732","0.027","0.099","5.58847826478623e-53","SYTL1"
"PTPRC","3.98478445540444e-57","-0.318448501093034","0.395","0.605","5.90823991202816e-53","PTPRC"
"MAPKAPK3","1.10835590690088e-56","-0.344921334646858","0.085","0.203","1.64335930316193e-52","MAPKAPK3"
"FOLR3","2.4712740437244e-56","0.92919527973438","0.207","0.059","3.66415802463017e-52","FOLR3"
"UTRN","6.03296422425657e-56","-0.3929882837764","0.114","0.244","8.94507605530521e-52","UTRN"
"PPP1CA","6.53425851504463e-55","-0.315782827171236","0.284","0.477","9.68834510025668e-51","PPP1CA"
"NDUFA4","1.16863269968585e-54","-0.289815277404251","0.555","0.75","1.73273170382421e-50","NDUFA4"
"UQCRB","3.29557280333631e-54","-0.280735085248791","0.707","0.866","4.88634579550674e-50","UQCRB"
"PSAP","9.44836292400143e-54","-0.222609987501147","0.806","0.915","1.40090877074169e-49","PSAP"
"SLC2A6","1.09160806556182e-53","-0.328063451091192","0.034","0.111","1.61852727880852e-49","SLC2A6"
"MT2A","1.97786030976227e-53","-0.396753909035812","0.345","0.53","2.93257348128452e-49","MT2A"
"RPS24","2.64749497826073e-53","0.201824924389788","0.942","0.962","3.92544080426719e-49","RPS24"
"C9orf78","2.80914367847685e-53","-0.379386458223586","0.086","0.199","4.16511733207762e-49","C9orf78"
"RPL27A","4.91784724448043e-53","-0.184124321734725","0.912","0.977","7.29169210939113e-49","RPL27A"
"RPL7","5.0312243169769e-53","0.186474872162878","0.969","0.978","7.45979629478165e-49","RPL7"
"CORO1A","1.03811091772136e-52","-0.311337389864937","0.425","0.622","1.53920705770546e-48","CORO1A"
"IFI30","1.27944429202013e-52","-0.397228886492483","0.055","0.146","1.89703205177825e-48","IFI30"
"CDC42","1.36599393375827e-52","-0.300273024139349","0.568","0.757","2.02535920558339e-48","CDC42"
"GPR20","1.8372101887757e-52","-0.0961645404204188","0","0.017","2.72403154689774e-48","GPR20"
"CIRBP","2.2553255202664e-52","-0.339016772289088","0.29","0.468","3.34397114889899e-48","CIRBP"
"RPL35A","4.90805527118867e-52","0.194724786417385","0.945","0.964","7.27717355059144e-48","RPL35A"
"LILRB2","4.95980120955719e-52","-0.363911684918771","0.122","0.252","7.35389725341044e-48","LILRB2"
"RPL10","6.10242983116943e-52","-0.147687973757518","0.977","0.996","9.04807271067491e-48","RPL10"
"IKZF1","8.25409687114771e-52","-0.354043683086347","0.152","0.295","1.22383494308507e-47","IKZF1"
"CCL3","9.32465796281928e-52","0.778926399187371","0.4","0.254","1.38256703614722e-47","CCL3"
"RPL13","9.47943201286367e-52","0.165632381339983","0.97","0.988","1.4055153845473e-47","RPL13"
"ZNF703","1.08827336456636e-51","-0.277958600717238","0.021","0.081","1.61358291764255e-47","ZNF703"
"PRELID1","1.17978938462867e-51","-0.292745984437249","0.509","0.704","1.74927372058894e-47","PRELID1"
"C3AR1","2.09252348095919e-51","-0.243318596479284","0.018","0.074","3.10258456521819e-47","C3AR1"
"FAM89B","5.43341668898785e-51","-0.360539095174674","0.079","0.186","8.05612692476228e-47","FAM89B"
"HLA-E","6.81108147010543e-51","-0.310451692152309","0.463","0.648","1.00987904957253e-46","HLA-E"
"ATP1B3","7.72579881552867e-51","-0.333030690828603","0.118","0.246","1.14550419037844e-46","ATP1B3"
"TMEM134","8.05816263065855e-51","-0.328887737782024","0.056","0.149","1.19478377324774e-46","TMEM134"
"POU2F2","1.09035021881865e-50","-0.353252582856098","0.155","0.298","1.61666226944241e-46","POU2F2"
"IGFBP6","1.24276228110139e-50","-0.147185599739484","0.002","0.025","1.84264363418903e-46","IGFBP6"
"RGS19","1.38894496927364e-50","-0.35552016594051","0.127","0.258","2.05938870594203e-46","RGS19"
"OAZ1","1.58318786249827e-50","-0.183667912950309","0.905","0.973","2.34739264372619e-46","OAZ1"
"SLC25A5","7.41282853070864e-50","-0.33270998299145","0.378","0.564","1.09910008624817e-45","SLC25A5"
"CHCHD10","2.57467402227202e-49","-0.341837007588587","0.175","0.322","3.81746917282272e-45","CHCHD10"
"RASGRP2","3.75904432088091e-49","-0.344778664097428","0.109","0.23","5.57353501457012e-45","RASGRP2"
"CNIH4","7.33648184726629e-49","-0.330694694679966","0.153","0.293","1.08778016349417e-44","CNIH4"
"WARS","9.83144640796896e-49","-0.354603328479092","0.141","0.275","1.45770855890956e-44","WARS"
"CAPG","9.88350638399796e-49","0.614380633717556","0.343","0.19","1.46542749155538e-44","CAPG"
"TNFRSF1B","1.3842945437706e-48","-0.330588875174996","0.212","0.371","2.05249352004866e-44","TNFRSF1B"
"CSK","2.11598479850242e-48","-0.315647509844326","0.136","0.269","3.13737066073954e-44","CSK"
"AP1S2","3.51270267723845e-48","0.460059164421604","0.601","0.505","5.20828425954145e-44","AP1S2"
"ZBTB7A","6.42637651520772e-48","-0.355699984400017","0.105","0.222","9.52838845909848e-44","ZBTB7A"
"CEBPB","1.52309613810086e-47","-0.297459406904596","0.425","0.616","2.25829464396214e-43","CEBPB"
"GRN","2.18225511677409e-47","0.53219995520451","0.475","0.335","3.23562966164094e-43","GRN"
"TSPO","3.06200047997321e-47","0.347667377242044","0.761","0.734","4.54002811165627e-43","TSPO"
"CCDC12","4.89260909802476e-47","-0.328746978125035","0.121","0.246","7.25427150964131e-43","CCDC12"
"HSPB1","6.47815963198943e-47","-0.314243586063284","0.037","0.111","9.60516728635073e-43","HSPB1"
"MPC1","8.42597432333999e-47","-0.325717270510002","0.096","0.208","1.24931921292162e-42","MPC1"
"PHF19","8.50969924092773e-47","-0.286251095820744","0.028","0.093","1.26173310645235e-42","PHF19"
"PSMA4","1.26496977537247e-46","-0.320513683858447","0.258","0.424","1.87557068594475e-42","PSMA4"
"DOCK5","1.54889412827712e-46","-0.359462718879457","0.084","0.189","2.29654532399648e-42","DOCK5"
"SETBP1","1.56396699450834e-46","-0.130573437545129","0.002","0.024","2.31889386275752e-42","SETBP1"
"RPS28","1.64255362517388e-46","0.166742850401655","0.962","0.976","2.43541426004531e-42","RPS28"
"TMC6","3.2213154802319e-46","-0.281261666751054","0.045","0.125","4.77624446253983e-42","TMC6"
"PLD4","3.54161907587393e-46","-0.239247286097315","0.013","0.06","5.25115860379827e-42","PLD4"
"PTMA","3.80631695375924e-46","-0.203678163943442","0.883","0.96","5.64362614733883e-42","PTMA"
"TBXAS1","4.34399460714975e-46","-0.274912287325784","0.133","0.265","6.44084080402093e-42","TBXAS1"
"PGLYRP2","4.72709921154429e-46","-0.216123569213826","0.005","0.035","7.00887000095672e-42","PGLYRP2"
"CD86","8.54793438968988e-46","-0.343409994161728","0.171","0.312","1.26740223195932e-41","CD86"
"CMTM6","1.0207384139375e-45","-0.304275458412836","0.186","0.335","1.51344884634513e-41","CMTM6"
"GPBAR1","1.06256787404447e-45","-0.304191037256599","0.075","0.174","1.57546938684574e-41","GPBAR1"
"CASP5","1.10395635114617e-45","-0.152300213062824","0.004","0.033","1.63683608184443e-41","CASP5"
"NKG7","4.43944493600507e-45","-0.338192693787605","0.043","0.118","6.58236500661472e-41","NKG7"
"H2AFZ","5.98966064654935e-45","-0.285050825496658","0.328","0.508","8.88086984063872e-41","H2AFZ"
"SCIMP","4.23773001648381e-44","-0.314533965052732","0.072","0.167","6.28328229544054e-40","SCIMP"
"ZNF706","9.24780744548506e-44","-0.320222492447062","0.205","0.352","1.37117240994207e-39","ZNF706"
"HLA-C","2.71350247456016e-43","-0.212869202110634","0.804","0.913","4.02331011903034e-39","HLA-C"
"CD300A","3.31664380977521e-43","-0.320200044120239","0.075","0.171","4.9175877767537e-39","CD300A"
"ATG3","4.20030282435041e-43","-0.319617626208133","0.177","0.315","6.22778899766436e-39","ATG3"
