"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","gene"
"IL17RC","0.818010655832662","0.00350656822762186","0.007","0.007","1","IL17RC"
"RNF31","0.818571463178248","0.0011721520571218","0.003","0.003","1","RNF31"
"CLN8","0.818779087636169","0.046540481307337","0.036","0.037","1","CLN8"
"MRI1","0.818821252748089","0.00952203830388734","0.008","0.009","1","MRI1"
"NCAPH2","0.819239943742233","0.0265294167587496","0.009","0.01","1","NCAPH2"
"ATP8A1","0.819890353650242","0.0222884704266787","0.011","0.012","1","ATP8A1"
"IRAK1","0.819925988677709","0.0562302823154322","0.041","0.04","1","IRAK1"
"GGH","0.820147464893228","0.00720962761544926","0.006","0.006","1","GGH"
"FAM220A","0.820275447478246","0.0108886316104489","0.005","0.004","1","FAM220A"
"GTF2I","0.82036179889476","0.0127478179616457","0.016","0.016","1","GTF2I"
"CCDC84","0.820540008893141","0.0283029930012441","0.015","0.015","1","CCDC84"
"IGF1R","0.820608096607138","-0.000582115123326198","0.004","0.004","1","IGF1R"
"STC2","0.820883550933249","0.00755017778210468","0.005","0.004","1","STC2"
"ZNF473","0.820968557560047","0.00243039639401428","0.004","0.004","1","ZNF473"
"MTFR1","0.821613417198994","0.00921120263202323","0.005","0.004","1","MTFR1"
"UEVLD","0.822283220743436","0.0214341584388352","0.009","0.009","1","UEVLD"
"ATP6V1H","0.822356332506103","0.023452233360586","0.022","0.022","1","ATP6V1H"
"SETDB1","0.822549865130028","0.0193266622027164","0.017","0.016","1","SETDB1"
"GSTM1","0.822837004679672","0.00249089824802264","0.004","0.004","1","GSTM1"
"ZMIZ1","0.823036049723162","0.0435890547367748","0.049","0.048","1","ZMIZ1"
"PLA2G15","0.82305163379331","0.024609996178124","0.011","0.012","1","PLA2G15"
"SEC24A","0.823115272142789","0.0312718214525328","0.01","0.01","1","SEC24A"
"GABBR1","0.823144239405238","0.0389692672400333","0.031","0.03","1","GABBR1"
"LRRC28","0.823786090189417","0.0129577007803715","0.011","0.011","1","LRRC28"
"ASB13","0.82391902300721","0.0049403320940632","0.006","0.006","1","ASB13"
"GDE1","0.824490927523465","0.0394443120915267","0.03","0.031","1","GDE1"
"HOXB2","0.824599264921747","0.000750077385145029","0.006","0.006","1","HOXB2"
"PLEKHM2","0.824684653722821","0.0507765524663448","0.025","0.024","1","PLEKHM2"
"TLR7","0.824799915562042","0.0221898182026751","0.008","0.009","1","TLR7"
"MAVS","0.825044541153319","0.000315673751499448","0.006","0.006","1","MAVS"
"NRAS","0.825324307155067","0.0366392596441648","0.031","0.03","1","NRAS"
"EIF4EBP2","0.825733103105737","0.0641884017329301","0.082","0.081","1","EIF4EBP2"
"GMDS","0.826198607467029","0.0208820014597879","0.016","0.016","1","GMDS"
"ZNF699","0.826519920013958","0.00828624469390731","0.006","0.006","1","ZNF699"
"FAM124B","0.82717991315955","-0.000923790551551932","0.002","0.002","1","FAM124B"
"ICMT","0.827338012298964","0.00973204667611686","0.007","0.008","1","ICMT"
"UBE2O","0.827411900514309","0.0239405304734212","0.007","0.007","1","UBE2O"
"FBXO36","0.827650135585318","-0.000641067944466858","0.002","0.002","1","FBXO36"
"ARMCX4","0.82773783723364","0.00758098626681044","0.007","0.007","1","ARMCX4"
"TP53INP1","0.827764665163751","0.0387329151742788","0.027","0.026","1","TP53INP1"
"PRKRIR","0.827865347586185","0.0287002420121548","0.018","0.019","1","PRKRIR"
"POU5F2","0.828073388577173","0.00237470542755253","0.002","0.002","1","POU5F2"
"C6orf132","0.828214484009158","0.00175114258507899","0.002","0.002","1","C6orf132"
"DUOX1","0.828247319643479","0.0058560056113967","0.003","0.003","1","DUOX1"
"DLC1","0.828355584984481","0.000678829646301737","0.002","0.002","1","DLC1"
"ISY1","0.829415594356261","0.0276266526753275","0.023","0.024","1","ISY1"
"MAP4K4","0.829467719030599","0.0618570294374382","0.043","0.042","1","MAP4K4"
"WBP2NL","0.829484591818203","0.0102554753119254","0.002","0.002","1","WBP2NL"
"C19orf35","0.829546292538177","0.0196610230380467","0.011","0.011","1","C19orf35"
"LRRC41","0.829547679816021","0.0104707275977324","0.013","0.014","1","LRRC41"
"C19orf12","0.829862656688095","0.011147592784128","0.006","0.006","1","C19orf12"
"RNF19A","0.829899056780325","0.0455219172459931","0.031","0.032","1","RNF19A"
"TMEM88","0.829913861941911","0.00913168871236656","0.004","0.003","1","TMEM88"
"S100P","0.830151425205012","0.0507209697646768","0.014","0.015","1","S100P"
"PARD6A","0.830369491785878","0.00257185113825837","0.004","0.003","1","PARD6A"
"GP1BA","0.830677724180989","0.00661389638245707","0.005","0.005","1","GP1BA"
"CCDC9","0.830739482206386","0.0437625214981851","0.022","0.022","1","CCDC9"
"GEMIN4","0.831000457994673","0.00423697808319549","0.004","0.003","1","GEMIN4"
"CKLF-CMTM1","0.831093011942868","0.00832703101330351","0.001","0.001","1","CKLF-CMTM1"
"ADM","0.831207822300705","0.0377969916533442","0.017","0.018","1","ADM"
"CDCA7","0.831210749799537","0.00517833941867972","0.001","0.001","1","CDCA7"
"DCUN1D3","0.831210749799537","0.00487154934983334","0.001","0.001","1","DCUN1D3"
"ZBTB21","0.831223053216334","0.0115820274411154","0.014","0.015","1","ZBTB21"
"PLA2G2C","0.831269620148679","0.00515742202421904","0.001","0.001","1","PLA2G2C"
"HESX1","0.831387363686977","0.00449451754016061","0.001","0.001","1","HESX1"
"TBX19","0.831439371125515","-0.00449490886975124","0.005","0.005","1","TBX19"
"PWWP2A","0.83148782181156","0.0464866406801888","0.02","0.02","1","PWWP2A"
"GPR89B","0.831505111009825","0.00369391210538999","0.001","0.001","1","GPR89B"
"CUEDC1","0.831518735128628","0.000693519649462584","0.01","0.01","1","CUEDC1"
"NCALD","0.831622862114663","0.00393525121102519","0.001","0.001","1","NCALD"
"SH3BGR","0.831740616998927","0.00437714588910661","0.001","0.001","1","SH3BGR"
"KIAA0101","0.831740616998927","0.00405326546660945","0.001","0.001","1","KIAA0101"
"RFPL4A","0.831740616998927","0.00333539992581212","0.001","0.001","1","RFPL4A"
"PPAPDC2","0.831917256406146","0.00284712208996588","0.001","0.001","1","PPAPDC2"
"C7orf61","0.831976138095491","0.00497715841889728","0.001","0.001","1","C7orf61"
"PRELID2","0.831976138095491","0.00300479183733157","0.001","0.001","1","PRELID2"
"ITGA10","0.83203502072777","0.00272514015741737","0.001","0.001","1","ITGA10"
"SDS","0.832093904302664","0.00283372778648576","0.001","0.001","1","SDS"
"NUDT5","0.832132116314126","0.0804434872741432","0.046","0.046","1","NUDT5"
"CCDC19","0.832211674279014","0.004393455851761","0.001","0.001","1","CCDC19"
"PCDH7","0.832211674279014","0.0020075866742567","0.001","0.001","1","PCDH7"
"ATG2B","0.832225053036692","0.0192881517626137","0.007","0.007","1","ATG2B"
"DGCR14","0.83238087632247","0.00757789811914051","0.008","0.008","1","DGCR14"
"TOMM34","0.832420529768421","0.0010490463379014","0.004","0.003","1","TOMM34"
"IFT140","0.83274168574743","0.000542743273610058","0.001","0.001","1","IFT140"
"SERTAD1","0.83291337761372","0.0399662612225747","0.024","0.023","1","SERTAD1"
"CARS","0.832927378661025","0.0425255960503831","0.02","0.02","1","CARS"
"KANSL2","0.833131687928401","0.0142962078418865","0.016","0.016","1","KANSL2"
"GTF3C2","0.833238640065265","0.0222682151735076","0.017","0.016","1","GTF3C2"
"UVSSA","0.833676347117057","0.0204790061716462","0.01","0.01","1","UVSSA"
"NFYA","0.833777667562626","0.0194088912347301","0.008","0.008","1","NFYA"
"THG1L","0.833906025745304","0.0201537789083643","0.022","0.023","1","THG1L"
"PNRC1","0.833918951674415","0.127692885763099","0.336","0.359","1","PNRC1"
"MTHFSD","0.834172727124879","0.00619293554741464","0.006","0.007","1","MTHFSD"
"SRPRB","0.83431695619793","0.0213526779879084","0.018","0.019","1","SRPRB"
"CHST12","0.834373694097191","0.00551777395130179","0.012","0.012","1","CHST12"
"LIPE","0.834557324209861","0.00512144464049866","0.005","0.005","1","LIPE"
"RAPGEF2","0.834565459394087","0.00460611843469814","0.015","0.014","1","RAPGEF2"
"ZNF101","0.834619092307557","0.00355378210335636","0.005","0.005","1","ZNF101"
"TRIM23","0.835009165205903","0.010056181811797","0.008","0.008","1","TRIM23"
"PLCL2","0.83543869618144","0.0202312378083462","0.016","0.016","1","PLCL2"
"TMEM67","0.835481539752667","0.00690635481416889","0.002","0.002","1","TMEM67"
"FANCB","0.835576627881577","0.00834950312890691","0.005","0.005","1","FANCB"
"PGBD2","0.835620794665956","0.0118003924946141","0.006","0.005","1","PGBD2"
"LUZP1","0.836096916952549","0.0312787497783266","0.016","0.016","1","LUZP1"
"RPS4X","0.836291914313054","-0.00059498706761163","0.909","0.961","1","RPS4X"
"POLR1C","0.83693695711493","0.0115826350533777","0.008","0.008","1","POLR1C"
"BRD4","0.83730017359129","0.0700657011481693","0.064","0.067","1","BRD4"
"AP1S3","0.837336670719868","-0.00212767734101194","0.002","0.002","1","AP1S3"
"ATP11C","0.837537480801624","0.0213007294074153","0.011","0.011","1","ATP11C"
"EMP1","0.838031213983009","-0.0104160535427611","0.005","0.005","1","EMP1"
"PAAF1","0.838222040498969","0.0118643204980193","0.006","0.005","1","PAAF1"
"BTBD2","0.838239157165059","0.02710054946631","0.017","0.017","1","BTBD2"
"HACL1","0.838387960562649","0.0289731693019389","0.014","0.013","1","HACL1"
"PHC2","0.838541619702338","0.0188820156390004","0.035","0.036","1","PHC2"
"PRDM15","0.838545310966845","-0.00382440727273068","0.004","0.004","1","PRDM15"
"SERP1","0.838706579009295","0.0917037896948532","0.483","0.535","1","SERP1"
"RNMTL1","0.838819678663183","0.00194808471704307","0.008","0.008","1","RNMTL1"
"DIRC2","0.838831351136237","0.0223772625426474","0.012","0.012","1","DIRC2"
"DLG4","0.838956788142379","0.0210141797125217","0.009","0.009","1","DLG4"
"ACAP3","0.838991459922935","0.0167318228983345","0.021","0.022","1","ACAP3"
"MAP2K4","0.83922001277581","0.0152570686153632","0.01","0.01","1","MAP2K4"
"RANBP6","0.839238782084612","0.0328339455649964","0.01","0.009","1","RANBP6"
"LLGL1","0.839440155456282","0.00800741899053764","0.008","0.008","1","LLGL1"
"VPS37C","0.839523091640677","0.0116708183821274","0.015","0.015","1","VPS37C"
"PLCB3","0.839714480574059","-0.00226615980102365","0.011","0.011","1","PLCB3"
"HARS2","0.839781276238494","0.000442330701553924","0.007","0.007","1","HARS2"
"WDFY4","0.840629633261319","0.0245408562814836","0.014","0.013","1","WDFY4"
"STS","0.840721282254527","-0.00640529754222641","0.005","0.005","1","STS"
"ACBD4","0.840741402033436","-0.00133457846519964","0.004","0.004","1","ACBD4"
"SENP3","0.840881542084499","0.00665244166375074","0.004","0.004","1","SENP3"
"NSMCE2","0.84138115664408","0.0367165664259703","0.023","0.024","1","NSMCE2"
"POLR1A","0.841585031416802","0.00433301730728256","0.004","0.004","1","POLR1A"
"TMEM135","0.842141871409201","0.00812690826476192","0.004","0.004","1","TMEM135"
"C7orf60","0.842304564422777","0.0397630177136577","0.011","0.011","1","C7orf60"
"RUFY3","0.842498418402887","0.0124620945326143","0.021","0.022","1","RUFY3"
"NFIA","0.842794811140235","0.0145251689729466","0.012","0.011","1","NFIA"
"TBC1D23","0.842974051760788","0.0233354517833365","0.018","0.019","1","TBC1D23"
"CHRNA6","0.843369853886917","0.0024317203798405","0.004","0.004","1","CHRNA6"
"DNAJC5","0.843625001297227","0.055062621114899","0.043","0.044","1","DNAJC5"
"MAP7","0.843870771888229","0.00816258711487631","0.004","0.004","1","MAP7"
"CLEC2D","0.844128604788388","0.0219559613804824","0.007","0.007","1","CLEC2D"
"STARD8","0.844222541505974","0.0122912367728799","0.004","0.004","1","STARD8"
"SPAG9","0.844600758530514","0.0432666778774789","0.041","0.043","1","SPAG9"
"KLHL20","0.84460348408202","0.00509155178685806","0.014","0.014","1","KLHL20"
"ORM1","0.845163258022875","0.00839667712644409","0.001","0.001","1","ORM1"
"AKTIP","0.845163258022875","0.00454143318138086","0.001","0.001","1","AKTIP"
"GPC4","0.845163258022875","0.00406876935412632","0.001","0.001","1","GPC4"
"KIAA1875","0.845163258022875","0.00394997209298351","0.001","0.001","1","KIAA1875"
"HMMR","0.845245033806248","0.00606696228457934","0.001","0.001","1","HMMR"
"NR3C2","0.845245033806248","0.00533770261432439","0.001","0.001","1","NR3C2"
"DACT3","0.845245033806248","0.00437185638854108","0.001","0.001","1","DACT3"
"KCNAB3","0.845245033806248","0.0042685074824258","0.001","0.001","1","KCNAB3"
"LOXHD1","0.845245033806248","0.00400340487462832","0.001","0.001","1","LOXHD1"
"FRRS1","0.845326811257047","0.00210457201956315","0.001","0.001","1","FRRS1"
"PLAU","0.845326811257047","0.00190450380622827","0.001","0.001","1","PLAU"
"KCNJ14","0.845326811257047","0.00177650394704015","0.001","0.001","1","KCNJ14"
"WFS1","0.845408590374413","0.00248549388462602","0.001","0.001","1","WFS1"
"DCLRE1A","0.845408590374413","0.00223699603058883","0.001","0.001","1","DCLRE1A"
"CFB","0.845408590374413","0.00093279112314881","0.001","0.001","1","CFB"
"TTC30A","0.845490371157487","0.00280708921353602","0.001","0.001","1","TTC30A"
"MAP1B","0.845490371157487","0.00252775186797782","0.001","0.001","1","MAP1B"
"TGFBR3","0.845490371157487","0.00207128342718946","0.001","0.001","1","TGFBR3"
"CRB2","0.845490371157487","0.00198726733670841","0.001","0.001","1","CRB2"
"USP47","0.845515129266223","0.0263277371003274","0.027","0.028","1","USP47"
"SYTL2","0.845531262135874","0.00116307429402176","0.001","0.001","1","SYTL2"
"SLC2A5","0.845572153567898","0.000722507311668476","0.001","0.001","1","SLC2A5"
"EML6","0.845572153605412","0.00248323396121008","0.001","0.001","1","EML6"
"KCNC4","0.845572153605412","0.00216944591575901","0.001","0.001","1","KCNC4"
"MADCAM1","0.845572153605412","0.00171205140879006","0.001","0.001","1","MADCAM1"
"CABYR","0.845653937717328","0.00281132470013397","0.001","0.001","1","CABYR"
"SOCS2","0.845653937717328","0.00122496518847071","0.001","0.001","1","SOCS2"
"NRN1","0.845735723492377","0.000564445504968428","0.001","0.001","1","NRN1"
"ZNF66","0.845817510929701","0.00262666496717586","0.001","0.001","1","ZNF66"
"VWF","0.845817510929701","0.00169026873571946","0.001","0.001","1","VWF"
"BAI3","0.845817510929701","-0.000496974563131143","0.001","0.001","1","BAI3"
"C1QTNF6","0.84589930002844","0.000198690297809255","0.001","0.001","1","C1QTNF6"
"PPAP2B","0.84589930002844","-0.000129770942725271","0.001","0.001","1","PPAP2B"
"HIST2H2BF","0.84598109075032","-0.0016550497255313","0.001","0.001","1","HIST2H2BF"
"SF3B3","0.846056544296116","0.0274589300236175","0.016","0.017","1","SF3B3"
"THEM5","0.84606288320673","-0.00261772479262836","0.001","0.001","1","THEM5"
"PCBD1","0.846168216867613","0.0123744665859371","0.038","0.039","1","PCBD1"
"TMF1","0.846391604251068","0.0369002105565508","0.037","0.036","1","TMF1"
"FASTKD5","0.846535852867552","0.0206762580951548","0.01","0.01","1","FASTKD5"
"RCC2","0.847059219060197","0.0239281522717816","0.034","0.034","1","RCC2"
"PPM1D","0.847204717941122","0.0136493456066861","0.007","0.007","1","PPM1D"
"NEK9","0.848260077085457","0.0296280900103424","0.018","0.019","1","NEK9"
"DUSP6","0.848416273873546","0.130818915549886","0.19","0.201","1","DUSP6"
"SHPRH","0.848455791789159","0.0189241059476124","0.017","0.017","1","SHPRH"
"TRMT112","0.848652765485155","0.114163273936364","0.269","0.292","1","TRMT112"
"CIAO1","0.848676734432531","0.0131554395903216","0.024","0.025","1","CIAO1"
"ELK4","0.8488450968435","0.0346399595641601","0.027","0.027","1","ELK4"
"CHPF2","0.848944372895719","0.0314104422826346","0.017","0.016","1","CHPF2"
"GLS2","0.849179718692296","-0.00739910874567316","0.001","0.002","1","GLS2"
"ODF3L1","0.849247881741787","0.00933456752789244","0.003","0.003","1","ODF3L1"
"TRIM35","0.849320666432867","0.00487532005832302","0.002","0.003","1","TRIM35"
"VAV2","0.849671083014337","-0.00213060131797668","0.001","0.002","1","VAV2"
"HMG20A","0.850197608021681","0.0128011156656772","0.011","0.011","1","HMG20A"
"ENTHD2","0.850455113388375","0.0303904379243573","0.012","0.012","1","ENTHD2"
"ZNF33B","0.850947669536725","0.0165155371185602","0.011","0.011","1","ZNF33B"
"PLGRKT","0.85140047189689","0.0550001703698648","0.03","0.029","1","PLGRKT"
"MCC","0.851637122443881","0.00452296910627441","0.001","0.002","1","MCC"
"MED13L","0.851674404849949","0.073462933488579","0.057","0.059","1","MED13L"
"TK1","0.851801000867245","0.00257788583753631","0.001","0.002","1","TK1"
"SDCCAG8","0.851864434408042","0.065935432624439","0.043","0.042","1","SDCCAG8"
"FKBP11","0.851895427852532","0.0127807869795704","0.007","0.007","1","FKBP11"
"ABHD8","0.852036620325069","0.0241959308661586","0.012","0.012","1","ABHD8"
"RLIM","0.852185101319178","0.0132750473229296","0.014","0.014","1","RLIM"
"COPA","0.852210107621568","0.0778303381257525","0.071","0.073","1","COPA"
"HMHA1","0.852597602483234","0.080156470341771","0.08","0.083","1","HMHA1"
"WDR60","0.852683740211898","0.0101225155793503","0.01","0.009","1","WDR60"
"BRAF","0.852757255738017","0.0125363588526274","0.011","0.012","1","BRAF"
"EFCAB11","0.85296096290987","0.00359589292006753","0.004","0.004","1","EFCAB11"
"GFER","0.853196056393523","0.0629187664801559","0.044","0.046","1","GFER"
"TBC1D25","0.853289789251539","0.0163553251477283","0.007","0.008","1","TBC1D25"
"GLCE","0.853363868294216","0.0176271542363948","0.007","0.008","1","GLCE"
"ETS2","0.853905149570509","0.0764770073668429","0.066","0.068","1","ETS2"
"C20orf96","0.854050830368307","0.00739711957206397","0.005","0.005","1","C20orf96"
"TMEM168","0.854237787434534","0.0147351386091775","0.008","0.008","1","TMEM168"
"ARHGAP11B","0.855291667750816","0.014416360140831","0.005","0.005","1","ARHGAP11B"
"C9orf16","0.855385979611347","0.0942474670414384","0.231","0.244","1","C9orf16"
"EIF3A","0.855652771732687","0.0789887651855841","0.117","0.121","1","EIF3A"
"ABCA1","0.85567526349377","0.0351562150819805","0.014","0.014","1","ABCA1"
"FLVCR2","0.855735470043527","0.0181902303070871","0.008","0.008","1","FLVCR2"
"TCN2","0.855802279353403","0.0283876255561697","0.021","0.022","1","TCN2"
"ZMAT1","0.856224005918262","0.0150050875317716","0.012","0.012","1","ZMAT1"
"RREB1","0.856356344666507","0.0564546561061264","0.057","0.059","1","RREB1"
"CCL4","0.85707543026447","0.0367372711554921","0.033","0.034","1","CCL4"
"MUS81","0.857168192014908","0.0148431807738001","0.009","0.01","1","MUS81"
"ANGPT1","0.857316241551033","0.00533421303660179","0.002","0.002","1","ANGPT1"
"TEX30","0.858361574357899","0.0140883502840463","0.009","0.008","1","TEX30"
"TTC3","0.858517250102958","0.0316637627056824","0.065","0.067","1","TTC3"
"ASUN","0.858614361624261","0.0115227253134565","0.008","0.008","1","ASUN"
"DCUN1D4","0.858824088762204","0.0171156968029697","0.006","0.005","1","DCUN1D4"
"BBS10","0.858850512393575","0.0021790484259123","0.002","0.002","1","BBS10"
"SEMA4B","0.858912499520514","0.0200316152826894","0.009","0.009","1","SEMA4B"
"TMEM39B","0.859299669834208","0.0282295449250285","0.015","0.014","1","TMEM39B"
"KIAA0922","0.859717723172212","0.0096506578395105","0.021","0.022","1","KIAA0922"
"ZCCHC11","0.859820638811125","0.0320088444232844","0.017","0.016","1","ZCCHC11"
"HES6","0.860005841352301","0.0119765695207192","0.004","0.003","1","HES6"
"TPD52L2","0.860241583316247","0.040891334990749","0.054","0.056","1","TPD52L2"
"FEM1A","0.860531008651518","0.00907323732618186","0.011","0.01","1","FEM1A"
"CXorf40B","0.861097388534487","0.0207731455069027","0.013","0.012","1","CXorf40B"
"UBR1","0.8611654888496","0.0353161891737889","0.015","0.014","1","UBR1"
"TCFL5","0.861180287639251","0.00762277457545932","0.004","0.003","1","TCFL5"
"CCDC159","0.861182528735693","0.0538107516811234","0.043","0.043","1","CCDC159"
"GLB1L","0.861340463244732","0.00816197976873725","0.004","0.003","1","GLB1L"
"TTI1","0.861536241181202","0.00765911879516127","0.004","0.003","1","TTI1"
"ANO10","0.862154805333753","0.0140338173322472","0.009","0.008","1","ANO10"
"POR","0.862169272502191","0.0298703910387905","0.021","0.022","1","POR"
"SYNJ2BP","0.862238831759784","-0.00203790192531518","0.01","0.011","1","SYNJ2BP"
"VWA5A","0.862461851845084","0.00484293767844654","0.004","0.003","1","VWA5A"
"GHDC","0.862742842046617","0.0262207669578982","0.015","0.014","1","GHDC"
"MARK4","0.862754893447338","0.00986804800851947","0.011","0.011","1","MARK4"
"DUSP18","0.862889714545964","0.0246937233232076","0.013","0.013","1","DUSP18"
"CELF5","0.863188409571476","0.00140366482131478","0.005","0.005","1","CELF5"
"FOXK2","0.863207501302367","0.0242046601958986","0.014","0.014","1","FOXK2"
"TMEM229B","0.864128351270998","0.0130930583644185","0.006","0.007","1","TMEM229B"
"RBM14","0.864133939272333","0.0342573343562237","0.02","0.02","1","RBM14"
"SLC25A14","0.864809839710127","0.015070850793289","0.006","0.007","1","SLC25A14"
"LOH12CR1","0.864869499915781","0.0158035322772869","0.01","0.011","1","LOH12CR1"
"MPHOSPH6","0.865191716642681","0.0406582597131342","0.035","0.035","1","MPHOSPH6"
"POLI","0.865451332459311","0.0133220113377769","0.006","0.007","1","POLI"
"EDEM2","0.865493303840826","0.0511136953319364","0.033","0.033","1","EDEM2"
"KLC4","0.865765007480285","0.00801158254719492","0.003","0.003","1","KLC4"
"D2HGDH","0.86607347226666","0.0249451394071657","0.01","0.01","1","D2HGDH"
"MRPS33","0.866254223686862","0.0567659101206308","0.074","0.076","1","MRPS33"
"MFAP3","0.866531834134723","0.0197997883227888","0.004","0.004","1","MFAP3"
"IFIT5","0.866624112909097","0.0222306246281903","0.01","0.011","1","IFIT5"
"ERCC6L2","0.867404053142957","0.00997184302061938","0.007","0.007","1","ERCC6L2"
"ANKRD42","0.867437516501127","0.0324486411261641","0.012","0.011","1","ANKRD42"
"NET1","0.867924313854214","0.0150781137209372","0.004","0.004","1","NET1"
"STT3A","0.868047951034399","0.0293991303137962","0.016","0.016","1","STT3A"
"USP39","0.868234362473493","-0.00603363624872469","0.019","0.02","1","USP39"
"FNDC3A","0.868624872931624","0.0335920425591333","0.018","0.018","1","FNDC3A"
"RRP15","0.868818627633216","0.0185696303963457","0.015","0.015","1","RRP15"
"PCCB","0.869010759350583","0.00864283893597508","0.009","0.01","1","PCCB"
"MEI1","0.86923493430296","0.0106449193443622","0.013","0.012","1","MEI1"
"ATAD3B","0.869242091682852","0.000667973713453722","0.005","0.005","1","ATAD3B"
"RBL2","0.869446719308394","0.0520117477003089","0.035","0.036","1","RBL2"
"L3MBTL4","0.869881107648381","0.00875718879119861","0.004","0.004","1","L3MBTL4"
"DYRK1A","0.870323385681502","0.0366453213997538","0.028","0.027","1","DYRK1A"
"CLDND1","0.870808470755821","0.0735373634660004","0.048","0.048","1","CLDND1"
"PARP11","0.871056676664239","0.010421244462384","0.01","0.01","1","PARP11"
"ZFYVE20","0.871179155511737","0.0163343707281977","0.014","0.014","1","ZFYVE20"
"C9orf142","0.871420729788248","0.0887186811942298","0.113","0.118","1","C9orf142"
"PPP3CA","0.871763500017839","0.0725033842490193","0.092","0.095","1","PPP3CA"
"TMEM194B","0.872020741138157","-0.00383409508639951","0.002","0.002","1","TMEM194B"
"TNKS2","0.872149618437003","0.0468148466105455","0.048","0.05","1","TNKS2"
"MCCC1","0.872410902978057","0.0118707806419584","0.01","0.01","1","MCCC1"
"TBCEL","0.872728915465282","0.00822457150282071","0.005","0.005","1","TBCEL"
"NEDD4","0.872817883796024","0.00166064971804414","0.002","0.002","1","NEDD4"
"BTBD11","0.873265912669981","0.00315559965776385","0.004","0.004","1","BTBD11"
"ZNF234","0.873268934642853","0.00722616455617572","0.002","0.002","1","ZNF234"
"GPRIN3","0.873380650537919","0.00192917759947225","0.002","0.002","1","GPRIN3"
"TPRN","0.873432442402687","0.00890879552948977","0.005","0.005","1","TPRN"
"FOXJ2","0.873583182769752","0.0310133304800076","0.017","0.016","1","FOXJ2"
"FSTL3","0.873614725099438","0.0257607790795957","0.015","0.016","1","FSTL3"
"SNURF","0.873662057953816","0.00186650660502853","0.002","0.002","1","SNURF"
"FTO","0.873755863979357","0.00386608111122368","0.002","0.002","1","FTO"
"STK36","0.873791094811449","0.00827840641421105","0.002","0.002","1","STK36"
"AKT2","0.873854657704567","0.0351140573619853","0.025","0.025","1","AKT2"
"PLXNA2","0.873896576344689","0.00540369911201621","0.002","0.002","1","PLXNA2"
"C19orf54","0.873975128880239","0.00617973513545673","0.007","0.008","1","C19orf54"
"PCNT","0.874103018338639","0.017419066002311","0.009","0.01","1","PCNT"
"HHIPL1","0.874182751027477","0.00382359761648311","0.002","0.002","1","HHIPL1"
"ZNF142","0.874226270289571","0.00598851739583947","0.002","0.002","1","ZNF142"
"YJEFN3","0.874271828806534","0.00516821717605664","0.002","0.002","1","YJEFN3"
"TMEM86A","0.874553286716172","0.00558082382489635","0.002","0.002","1","TMEM86A"
"RDH10","0.874574438064058","0.00371806575723462","0.002","0.002","1","RDH10"
"GPR157","0.874813817505679","0.00637649285228067","0.002","0.002","1","GPR157"
"CD300E","0.874833844957849","0.118356687750164","0.152","0.159","1","CD300E"
"OPLAH","0.874879104805708","0.00325757368169722","0.002","0.002","1","OPLAH"
"PGM2L1","0.875314375160314","0.00512433831769131","0.002","0.002","1","PGM2L1"
"ZCCHC14","0.875350479916465","-0.00148052879876776","0.004","0.004","1","ZCCHC14"
"NUBPL","0.87547353180692","0.00685441157728415","0.004","0.004","1","NUBPL"
"ZNF569","0.875749683230447","-0.0000301277389074157","0.002","0.002","1","ZNF569"
"NAT1","0.875807544892285","0.00402131831191238","0.004","0.004","1","NAT1"
"NLN","0.876070928381289","0.00878752646214022","0.015","0.016","1","NLN"
"ALPK1","0.876114003250043","0.0262448129588485","0.022","0.023","1","ALPK1"
"ZDHHC8","0.876118639582176","0.00593795454328168","0.008","0.008","1","ZDHHC8"
"SUV420H2","0.8763391198128","0.0134955312628244","0.005","0.004","1","SUV420H2"
"COPG1","0.876551801482632","0.034367952762168","0.027","0.028","1","COPG1"
"USP22","0.876721477915446","0.0358839136223552","0.036","0.035","1","USP22"
"TMEM156","0.876784737150495","-0.00489127176462061","0.001","0.001","1","TMEM156"
"RBM28","0.876784921120083","0.0123312676153259","0.012","0.012","1","RBM28"
"FIGN","0.877255525127658","-0.00477488462304553","0.001","0.001","1","FIGN"
"IGDCC4","0.877322784101497","0.00134088000605999","0.001","0.001","1","IGDCC4"
"TUFT1","0.877457304685848","-0.0013709377824954","0.001","0.001","1","TUFT1"
"ANK1","0.877524566335297","-0.000202463417688498","0.001","0.001","1","ANK1"
"PUS7","0.877659092246621","0.000493340387634913","0.001","0.001","1","PUS7"
"MAGI3","0.877726356527487","0.00190364902098646","0.001","0.001","1","MAGI3"
"SMG5","0.877742036268583","0.0288326642726725","0.019","0.02","1","SMG5"
"DLEC1","0.877793621691185","0.000521893623268871","0.001","0.001","1","DLEC1"
"COX6B2","0.877860887737237","0.00308855898595954","0.001","0.001","1","COX6B2"
"FAM83H","0.877860887737237","0.00196710007575716","0.001","0.001","1","FAM83H"
"WDR66","0.877860887737237","0.00178535987776198","0.001","0.001","1","WDR66"
"DYRK3","0.877860887737237","0.000997454073715003","0.001","0.001","1","DYRK3"
"A1BG","0.877928154665165","0.000533265397352638","0.001","0.001","1","A1BG"
"ABCC2","0.877995422474491","0.00303497215919819","0.001","0.001","1","ABCC2"
"PPAP2A","0.878062691164737","0.0024697397726216","0.001","0.001","1","PPAP2A"
