metavar,cluster,gene,statistic,p.value,FDR
dx,all,CCT2,20,0.281818181818182,0.474032634032634
dx,all,CD109,19,0.372727272727273,0.474032634032634
dx,all,CD14,16,0.727272727272727,0.761831621388116
dx,all,CD160,12,0.863636363636364,0.884135472370766
dx,all,CD180,19,0.372727272727273,0.474032634032634
dx,all,CD1C,15,0.863636363636364,0.884135472370766
dx,all,CD1E,19,0.372727272727273,0.474032634032634
dx,all,CD2,20,0.281818181818182,0.474032634032634
dx,all,CD200R1,18,0.481818181818182,0.557067175248993
dx,all,CD247,10,0.6,0.650491803278689
dx,all,CD2AP,19,0.372727272727273,0.474032634032634
dx,all,CD2BP2,20,0.281818181818182,0.474032634032634
dx,all,CD300A,19,0.372727272727273,0.474032634032634
dx,all,CD300C,17,0.6,0.650491803278689
dx,all,CD300LB,19,0.372727272727273,0.474032634032634
dx,all,CD302,17,0.6,0.650491803278689
dx,all,CD320,19,0.372727272727273,0.474032634032634
dx,all,CD3D,0,0.00909090909090909,0.474032634032634
dx,all,CD3E,3,0.0636363636363636,0.474032634032634
dx,all,CD3G,2,0.0363636363636364,0.474032634032634
dx,all,CD40,19,0.372727272727273,0.474032634032634
dx,all,CD47,18,0.481818181818182,0.557067175248993
dx,all,CD5,23,0.1,0.474032634032634
dx,all,CD52,15,0.863636363636364,0.884135472370766
dx,all,CD69,19,0.372727272727273,0.474032634032634
dx,all,CD7,8,0.372727272727273,0.474032634032634
dx,all,CD72,20,0.281818181818182,0.474032634032634
dx,all,CD74,17,0.6,0.650491803278689
dx,all,CD79A,20,0.281818181818182,0.474032634032634
dx,all,CD79B,19,0.372727272727273,0.474032634032634
dx,all,CD81,17,0.6,0.650491803278689
dx,all,CD86,18,0.481818181818182,0.557067175248993
dx,all,CD9,20,0.281818181818182,0.474032634032634
dx,all,CD97,19,0.372727272727273,0.474032634032634
dx,all,CDC27,20,0.281818181818182,0.474032634032634
dx,all,CDC42BPB,18,0.481818181818182,0.557067175248993
dx,all,CDC42SE1,9,0.481818181818182,0.557067175248993
dx,all,CDCA3,23,0.1,0.474032634032634
dx,all,CDCA7L,19,0.372727272727273,0.474032634032634
dx,all,CDH23,19,0.372727272727273,0.474032634032634
dx,all,CDK11A,19,0.372727272727273,0.474032634032634
dx,all,CDKN1A,13,1,1
dx,all,CDKN1C,18,0.481818181818182,0.557067175248993
dx,all,CDKN3,19,0.372727272727273,0.474032634032634
dx,all,CDYL2,25,0.0363636363636364,0.474032634032634
dx,all,CEACAM3,19,0.372727272727273,0.474032634032634
dx,all,CEBPD,18,0.481818181818182,0.557067175248993
dx,all,CEBPZ,19,0.372727272727273,0.474032634032634
dx,all,CENPBD1,23,0.1,0.474032634032634
dx,all,CENPJ,20,0.281818181818182,0.474032634032634
dx,all,CENPL,19,0.372727272727273,0.474032634032634
dx,all,CENPN,19,0.372727272727273,0.474032634032634
dx,all,CENPV,19,0.372727272727273,0.474032634032634
dx,all,CEP104,19,0.372727272727273,0.474032634032634
dx,all,CEP128,20,0.281818181818182,0.474032634032634
dx,all,CEP164,20,0.281818181818182,0.474032634032634
dx,all,CEP19,23,0.1,0.474032634032634
dx,all,CEP57,20,0.281818181818182,0.474032634032634
dx,all,CEP68,19,0.372727272727273,0.474032634032634
dx,all,CERS4,21,0.209090909090909,0.474032634032634
dx,all,CETN2,20,0.281818181818182,0.474032634032634
dx,all,CFD,14,1,1
dx,all,CHCHD10,17,0.6,0.650491803278689
dx,all,CHD8,19,0.372727272727273,0.474032634032634
dx,all,CHID1,20,0.281818181818182,0.474032634032634
dx,all,CHMP1B,15,0.863636363636364,0.884135472370766
dx,all,CHURC1,19,0.372727272727273,0.474032634032634
dx,all,CIAO1,19,0.372727272727273,0.474032634032634
dx,all,CIAPIN1,19,0.372727272727273,0.474032634032634
dx,all,CITED2,16,0.727272727272727,0.761831621388116
dx,all,CKAP2,17,0.6,0.650491803278689
dx,all,CKB,20,0.281818181818182,0.474032634032634
dx,all,CKS2,19,0.372727272727273,0.474032634032634
dx,all,CLDN5,3,0.0636363636363636,0.474032634032634
dx,all,CLEC10A,15,0.863636363636364,0.884135472370766
dx,all,CLEC11A,18,0.481818181818182,0.557067175248993
dx,all,CLEC16A,19,0.372727272727273,0.474032634032634
dx,all,CLEC18A,17,0.6,0.650491803278689
dx,all,CLEC1A,19,0.372727272727273,0.474032634032634
dx,all,CLEC1B,23,0.1,0.474032634032634
dx,all,CLEC2B,16,0.727272727272727,0.761831621388116
dx,all,CLEC4D,22,0.145454545454545,0.474032634032634
dx,all,CLEC4E,20,0.281818181818182,0.474032634032634
dx,all,CLEC4G,20,0.281818181818182,0.474032634032634
dx,all,CLECL1,19,0.372727272727273,0.474032634032634
dx,all,CLIC3,9,0.481818181818182,0.557067175248993
dx,all,CLIP2,19,0.372727272727273,0.474032634032634
dx,all,CLPX,19,0.372727272727273,0.474032634032634
